"I have already applied.","Your application has already been accepted"
"Lottery sales application","Raffle draw application"
"Precautions regarding application","Important details regarding raffle draw application"
"Accepted application","Your raffle draw application has been accepted"
"Lottery number:","Application number:"
"Scheduled winning announcement date:","Announcement date for winner:"
"Lottery application history","Raffle draw application history"
"Applying","Raffle Entered"
"Lottery code:","Application number:"
"Lottery Product:","Product applied:"
"Winning","Winner"
"Congratulations on winning!","Congratulations!"
"Lost","Missed"
